moteur,memoire,fichier donnees,fichier requetes,nb triplets RDF,nb requetes,tps lecture donnees (ms),tps lecture requetes (ms),tps creation dico (ms),nb index,tps creation des index (ms),tps total workload (ms),Temps total (ms)
qengine,2,./data/data/500K.nt,./data/queries/benchmark.queryset,529580,8600,4099,941,418,6,998,54,5111
jena,2,./data/data/500K.nt,./data/queries/benchmark.queryset,522377,8600,3837,969,0,6,0,2475,7643
qengine,2,./data/data/2M.nt,./data/queries/benchmark.queryset,2045116,8600,16046,828,1888,6,5451,438,17379
jena,2,./data/data/2M.nt,./data/queries/benchmark.queryset,2029121,8600,18853,1624,0,6,0,8066,29472
qengine,4,./data/data/500K.nt,./data/queries/benchmark.queryset,529580,8600,3555,717,527,6,947,63,4346
jena,4,./data/data/500K.nt,./data/queries/benchmark.queryset,522377,8600,3899,995,0,6,0,2800,8013
qengine,4,./data/data/2M.nt,./data/queries/benchmark.queryset,2045116,8600,14344,988,1541,6,5419,455,15800
jena,4,./data/data/2M.nt,./data/queries/benchmark.queryset,2029121,8600,15976,930,0,6,0,7512,24753
qengine,8,./data/data/500K.nt,./data/queries/benchmark.queryset,529580,8600,3521,577,381,6,960,59,4166
jena,8,./data/data/500K.nt,./data/queries/benchmark.queryset,522377,8600,3783,939,0,6,0,2664,7711
qengine,8,./data/data/2M.nt,./data/queries/benchmark.queryset,2045116,8600,15214,1415,1783,6,5673,510,17155
jena,8,./data/data/2M.nt,./data/queries/benchmark.queryset,2029121,8600,17558,947,0,6,0,8089,27036
